raw_text,merchant,category
VPA kfc.49651370@rapl Kfc,KFC,Food
VPA pharmeasy@hdfcbank PharmEasy,PharmEasy,Health
VPA 1746120047@okicici KFC,KFC,Food
VPA paytmqr9ejftxq@paytm BARBEQUE NATION,Barbeque Nation,Food
VPA paytmqr3dnownd@ptys SPOTIFY,Spotify,Subscription
VPA paytmqr8gmhyrf@pthdfc Swiggy,Swiggy,Food
VPA nextbillio.ynry@validicici NEXT BILLION,Next Billion Technology,Investment
VPA paytmqr4qpbcvb@ptys Milkbasket,Milkbasket,Groceries
VPA bharatpe.i55jsyxufblpvr79@fbpe Ms MUKHTAR AGARWAL,MUKHTAR AGARWAL,Transfer
VPA ra0859914hea@okbizaxis Mr REKHA SHAH,REKHA SHAH,Transfer
VPA gpay-9124190496@axisbank DUNZO,Dunzo,Food
VPA qi0136260nhk@icici Mrs RAHUL AJAYKUMAR REDDY,RAHUL AJAYKUMAR REDDY,Transfer
VPA 7287032032@okbizaxis GROWW INVEST TECH,Groww Invest Tech,Investment
VPA iy0677610kqj@icici Dr ARJUN GAFUR CHAUHAN,ARJUN GAFUR CHAUHAN,Transfer
VPA phonepe-7885190534@pty SHWETA GAJENDRA SHAH,SHWETA GAJENDRA SHAH,Transfer
VPA paytm.tcgdc5ta@paytm AJIO,AJIO,Shopping
VPA rapido.sepv@okicici RAPIDO,Rapido,Transport
VPA 3319036890@axisbank Electricity Bill,Electricity Bill,Utilities
VPA bharatpe.4jwr3xuxnb9dssrk@fbpe Dr REKHA NAIK,REKHA NAIK,Transfer
VPA subway.1851888880670654@okhdfcbank SUBWAY,Subway,Food
VPA arjunshar386-2@hdfcbank ARJUN SHARMA,ARJUN SHARMA,Transfer
VPA 0202569133@okbizaxis KARAN PRASAD VERMA,KARAN PRASAD VERMA,Transfer
VPA amazon.gfp@sbi AMAZON,Amazon,Shopping
VPA bharatpe.n7tcatplx3gguko1@fbpe Mrs MANISH GAJENDRA ANSARI,MANISH GAJENDRA ANSARI,Transfer
VPA myntra.rxwm@hdfcbank Myntra,Myntra,Shopping
VPA bharatpe.53iqquolgqe6xb1z@fbpe Mr KARAN RAMESH PANDEY,KARAN RAMESH PANDEY,Transfer
VPA paytm.pv349n1d@pty BILLDESK,BillDesk,Payments
VPA gpay-5739769156@sbi Spotify,Spotify,Subscription
VPA nt2248905jbl@okhdfcbank Dr GOPAL LAL SOLANKI,GOPAL LAL SOLANKI,Transfer
VPA gpay-3203301623@okaxis Mrs KARAN AGARWAL,KARAN AGARWAL,Transfer
VPA paytmqr7uahw@pty Google Pay,Google Pay,Payments
VPA paytmqr7wucdsf@ptys PAYTM,Paytm,Payments
VPA 1497374605@axisbank Spotify,Spotify,Subscription
VPA phonepe-0128974325@okicici MEDPLUS,MedPlus,Health
VPA paytmqr4myjoh@paytm PharmEasy,PharmEasy,Health
VPA gpay-4151315285@okbizaxis Gas Bill,Gas Bill,Utilities
VPA reliance.2649578232983248@ybl RELIANCE DIGITAL,Reliance Digital,Shopping
VPA zomato.hzio.rhi@oksbi ZOMATO,Zomato,Food
VPA globalme.2474140703491074@okhdfcbank Global Medical,Global Medical,Health
VPA 9501437483@ibl Mr SACHIN JOSHI,SACHIN JOSHI,Transfer
VPA cred.wdt@axb CRED,CRED,Payments
VPA kunal946@oksbi Ms KUNAL GAJENDRA VERMA,KUNAL GAJENDRA VERMA,Transfer
VPA jiomart.35387584@axl JIOMART,JioMart,Groceries
VPA anita3506@okaxis Dr ANITA PATIL,ANITA PATIL,Transfer
VPA paytmqr3oxrg@pty AXIS MUTUAL FUND,Axis Mutual Fund,Investment
VPA paytm.dld4d6af@pty FreshMenu,FreshMenu,Food
VPA kfc.sxr@icici KFC,KFC,Food
VPA zerodha@sbi Zerodha,Zerodha,Investment
VPA gpay-3398741132@axisbank DREAM11,Dream11,Entertainment
VPA paytmqr7zvzaii@ptys Irctc,IRCTC,Transport
VPA barbeque.svz@validhdfc BARBEQUE NATION,Barbeque Nation,Food
VPA 9457039438@ybl Phonepe,PhonePe,Payments
VPA paytm.a5hcbb@pthdfc DMart,DMart,Groceries
VPA paytm.tfk2076v@pthdfc MUTUAL FUNDS ICCL,Mutual Funds ICCL,Investment
VPA paytm.rw6rkm2@pty Paytm,Paytm,Payments
VPA paytm.bdr3vwmj@ptys UPSTOX,Upstox,Investment
VPA amazonprim.33567086@okicici AMAZON PRIME,Amazon Prime,Subscription
VPA bharatpe.39lqt9ngq6tlv0gu@fbpe Mrs RAHUL RAVISHANKAR SHAH,RAHUL RAVISHANKAR SHAH,Transfer
VPA paytmqr1irvfc@pty Inox,INOX,Entertainment
